timestamp,location-long,location-lat,bas:compensated-latitute,tag-local-identifier
04/09/2014 04:37:00,-69.59,76.5,76.5,V1282_002
04/09/2014 15:58:00,-59.88,74.22,76.2,V1282_002
05/09/2014 04:22:00,-65.79,72.25,73.01,V1282_002
05/09/2014 15:46:00,-56.83,67.01,71.07,V1282_002
06/09/2014 03:44:00,-56.25,67.92,67.73,V1282_002
06/09/2014 15:40:00,-55.42,67.63,68.03,V1282_002
07/09/2014 03:50:00,-57.96,65.78,66.75,V1282_002
07/09/2014 15:43:00,-56.13,64.21,65.6,V1282_002
08/09/2014 03:43:00,-56.17,64.7,64.7,V1282_002
08/09/2014 15:43:00,-56.21,65.2,65.2,V1282_002
09/09/2014 03:41:00,-55.88,66.12,65.85,V1282_002
09/09/2014 15:36:00,-54.67,65.2,66.07,V1282_002
10/09/2014 03:47:00,-57.59,61.77,63.64,V1282_002
10/09/2014 15:45:00,-57.14,61.55,61.96,V1282_002
11/09/2014 03:43:00,-56.56,63.16,62.77,V1282_002
11/09/2014 15:44:00,-56.72,63.96,63.96,V1282_002
12/09/2014 03:47:00,-57.64,63.23,64.02,V1282_002
12/09/2014 15:45:00,-57.31,63.26,63.67,V1282_002
13/09/2014 03:44:00,-56.98,64.52,64.13,V1282_002
13/09/2014 15:40:00,-55.9,63.33,64.59,V1282_002
14/09/2014 03:45:00,-57.32,61.42,62.43,V1282_002
14/09/2014 15:45:00,-57.49,62.44,62.44,V1282_002
15/09/2014 03:37:00,-55.41,66.82,65.25,V1282_002
15/09/2014 15:34:00,-54.58,66.18,66.95,V1282_002
16/09/2014 03:46:00,-57.75,60.69,63.55,V1282_002
16/09/2014 15:37:00,-55.67,55.11,59.23,V1282_002
17/09/2014 03:32:00,-54.34,60.54,59.09,V1282_002
17/09/2014 15:31:00,-54.26,61.17,61.17,V1282_002
18/09/2014 03:34:00,-54.93,60.38,61.12,V1282_002
18/09/2014 15:41:00,-56.6,65.56,-82.67,V1282_002
19/09/2014 03:36:00,-55.52,68.63,67.73,V1282_002
19/09/2014 15:33:00,-54.69,67.94,68.86,V1282_002
20/09/2014 03:35:00,-55.48,-79.81,67.92,V1282_002
20/09/2014 15:34:00,-55.28,67.89,67.89,V1282_002
21/09/2014 03:41:00,-56.94,-74.93,66.99,V1282_002
21/09/2014 15:40:00,-56.61,-72.86,-73.38,V1282_002
22/09/2014 03:37:00,-56.16,67.79,67.12,V1282_002
22/09/2014 15:34:00,-55.33,66.64,-70.47,V1282_002
23/09/2014 03:39:00,-56.62,63.72,-65.35,V1282_002
23/09/2014 15:30:00,-54.41,50.91,-56.43,V1282_002
24/09/2014 03:31:00,-54.83,-37.98,52.22,V1282_002
24/09/2014 15:31:00,-54.75,-33.55,-33.55,V1282_002
25/09/2014 03:28:00,-54.17,-40.47,-37.23,V1282_002
25/09/2014 15:32:00,-55.09,-47.26,65.13,V1282_002
26/09/2014 03:34:00,-55.63,-40.88,-43.34,V1282_002
26/09/2014 15:31:00,-54.92,-29.79,-33.3,V1282_002
27/09/2014 03:32:00,-55.22,67.22,-28.17,V1282_002
27/09/2014 15:28:00,-54.26,61.02,66.88,V1282_002
28/09/2014 03:32:00,-55.3,90,57.47,V1282_002
28/09/2014 15:30:00,-54.84,90,90,V1282_002
29/09/2014 03:27:00,-54.26,66.71,55.43,V1282_002
29/09/2014 15:24:00,-53.43,90,41.78,V1282_002
30/09/2014 03:32:00,-55.34,90,90,V1282_002
30/09/2014 15:32:00,-55.51,90,90,V1282_002
01/10/2014 03:35:00,-56.3,84.64,82.22,V1282_002
01/10/2014 15:38:00,-57.09,71.71,76.51,V1282_002
02/10/2014 03:45:00,-58.88,78.47,72.97,V1282_002
02/10/2014 15:36:00,-56.55,81.63,79.64,V1282_002
03/10/2014 03:41:00,-57.83,81.53,80.42,V1282_002
03/10/2014 15:41:00,-58,79.63,79.63,V1282_002
04/10/2014 03:33:00,-55.91,72.46,75.52,V1282_002
04/10/2014 15:39:00,-57.45,62.54,66.92,V1282_002
05/10/2014 03:40:00,-57.86,62.56,60.99,V1282_002
05/10/2014 15:37:00,-57.28,63.9,62.58,V1282_002
06/10/2014 03:37:00,-57.19,61.29,61.29,V1282_002
06/10/2014 15:26:00,-54.6,69.88,65.81,V1282_002
07/10/2014 03:30:00,-55.64,71.02,69.8,V1282_002
07/10/2014 15:34:00,-56.55,67.4,68.79,V1282_002
08/10/2014 03:45:00,-59.33,72.4,69.37,V1282_002
08/10/2014 15:35:00,-56.87,75.06,73.76,V1282_002
09/10/2014 03:35:00,-56.9,74.19,74.19,V1282_002
09/10/2014 15:28:00,-55.19,75.36,74.55,V1282_002
10/10/2014 03:31:00,-55.97,75.36,74.86,V1282_002
10/10/2014 15:34:00,-56.63,73.98,74.25,V1282_002
11/10/2014 03:24:00,-54.41,70.28,72.04,V1282_002
11/10/2014 15:15:00,-51.94,72.82,71.61,V1282_002
12/10/2014 03:18:00,-52.73,72.95,72.4,V1282_002
12/10/2014 15:27:00,-55.13,69.22,70.61,V1282_002
13/10/2014 03:22:00,-53.91,66.39,67.68,V1282_002
13/10/2014 15:21:00,-53.69,66.05,66.05,V1282_002
14/10/2014 03:30:00,-55.97,68.84,66.99,V1282_002
14/10/2014 15:22:00,-54,70.67,69.8,V1282_002
15/10/2014 03:22:00,-54.15,70.2,70.2,V1282_002
15/10/2014 15:22:00,-53.93,69.88,69.88,V1282_002
16/10/2014 03:27:00,-55.46,70.87,69.84,V1282_002
16/10/2014 15:27:00,-55.49,70.32,70.32,V1282_002
17/10/2014 03:24:00,-54.64,68.85,69.39,V1282_002
17/10/2014 15:25:00,-55.04,67.86,68.15,V1282_002
18/10/2014 03:26:00,-55.19,67.45,67.45,V1282_002
18/10/2014 15:28:00,-55.71,66.29,66.6,V1282_002
19/10/2014 03:42:00,-59.24,69.55,67.53,V1282_002
19/10/2014 15:44:00,-59.63,68.72,68.96,V1282_002
20/10/2014 03:37:00,-58.03,66.51,67.6,V1282_002
20/10/2014 15:33:00,-56.93,67.25,66.71,V1282_002
21/10/2014 03:28:00,-55.82,65.51,66.37,V1282_002
21/10/2014 15:25:00,-55.22,65.75,65.46,V1282_002
22/10/2014 03:33:00,-56.99,67.13,66.1,V1282_002
22/10/2014 15:21:00,-54.13,69.25,68.42,V1282_002
23/10/2014 03:18:00,-53.28,68.12,68.54,V1282_002
23/10/2014 15:10:00,-51.29,69.32,68.75,V1282_002
24/10/2014 03:21:00,-54.06,70.82,69.66,V1282_002
24/10/2014 15:39:00,-58.58,67.11,68.54,V1282_002
25/10/2014 03:27:00,-55.84,63.99,65.79,V1282_002
25/10/2014 15:25:00,-55.23,64.25,63.98,V1282_002
26/10/2014 03:37:00,-58.37,66.81,64.99,V1282_002
26/10/2014 15:34:00,-57.51,67.16,66.95,V1282_002
27/10/2014 03:33:00,-57.27,66.59,66.79,V1282_002
27/10/2014 15:25:00,-55.41,67.7,67.13,V1282_002
28/10/2014 03:23:00,-54.92,66.98,67.17,V1282_002
28/10/2014 15:26:00,-55.68,66.04,66.24,V1282_002
29/10/2014 03:33:00,-57.31,66.96,66.2,V1282_002
29/10/2014 15:31:00,-56.82,67,66.81,V1282_002
30/10/2014 03:33:00,-57.2,66.94,66.76,V1282_002
30/10/2014 15:26:00,-55.71,67.65,67.32,V1282_002
31/10/2014 03:28:00,-56.09,67.59,67.43,V1282_002
31/10/2014 15:32:00,-57.09,66.62,66.8,V1282_002
01/11/2014 03:41:00,-59.22,67.71,66.75,V1282_002
01/11/2014 15:32:00,-56.98,68.72,68.31,V1282_002
02/11/2014 03:23:00,-54.85,67.22,68.11,V1282_002
02/11/2014 15:26:00,-55.73,66.38,66.54,V1282_002
03/11/2014 03:34:00,-57.73,67.35,66.58,V1282_002
03/11/2014 15:28:00,-56.23,67.93,67.66,V1282_002
04/11/2014 03:23:00,-54.86,66.89,67.47,V1282_002
04/11/2014 15:25:00,-55.48,66.25,66.4,V1282_002
05/11/2014 03:34:00,-57.48,67.16,66.44,V1282_002
05/11/2014 15:28:00,-56.1,67.66,67.4,V1282_002
06/11/2014 03:26:00,-55.72,67.22,67.35,V1282_002
06/11/2014 15:27:00,-55.96,66.84,66.84,V1282_002
07/11/2014 03:29:00,-56.46,66.87,66.74,V1282_002
07/11/2014 15:29:00,-56.33,66.71,66.71,V1282_002
08/11/2014 03:25:00,-55.32,65.92,66.34,V1282_002
08/11/2014 15:28:00,-56.06,65.24,65.39,V1282_002
09/11/2014 03:35:00,-57.8,66.01,65.3,V1282_002
09/11/2014 15:32:00,-56.91,66.26,66.13,V1282_002
10/11/2014 03:37:00,-58.28,66.75,66.24,V1282_002
10/11/2014 15:39:00,-58.64,66.35,66.35,V1282_002
11/11/2014 03:40:00,-59,66.32,66.2,V1282_002
